Date,Close,High,Low,Open,Volume,EMA_12,EMA_26
2024-01-02,149.92999267578125,152.3800048828125,148.38999938964844,151.5399932861328,47339400,,
2024-01-03,148.47000122070312,151.0500030517578,148.3300018310547,149.1999969482422,49425500,,
2024-01-04,144.57000732421875,147.3800048828125,144.0500030517578,145.58999633789062,56039800,,
2024-01-05,145.24000549316406,146.58999633789062,144.52999877929688,144.69000244140625,45153100,,
2024-01-08,149.10000610351562,149.39999389648438,146.14999389648438,146.74000549316406,46757100,,
2024-01-09,151.3699951171875,151.7100067138672,148.2100067138672,148.3300018310547,43812600,,
2024-01-10,153.72999572753906,154.4199981689453,151.8800048828125,152.05999755859375,44421800,,
2024-01-11,155.17999267578125,157.1699981689453,153.1199951171875,155.0399932861328,49072700,,
2024-01-12,154.6199951171875,156.1999969482422,154.00999450683594,155.38999938964844,40484200,,
2024-01-16,153.16000366210938,154.99000549316406,152.14999389648438,153.52999877929688,41384600,,
2024-01-17,151.7100067138672,152.14999389648438,149.91000366210938,151.49000549316406,34953400,,
2024-01-18,153.5,153.77999877929688,151.82000732421875,152.77000427246094,37850200,150.88166681925455,
2024-01-19,155.33999633789062,155.75999450683594,152.74000549316406,153.8300018310547,51651600,151.56756366827548,
2024-01-22,154.77999877929688,157.0500030517578,153.89999389648438,156.88999938964844,43687500,152.06178445458647,
2024-01-23,156.02000427246094,156.2100067138672,153.92999267578125,154.85000610351562,37986000,152.6707413496441,
2024-01-24,156.8699951171875,158.50999450683594,156.47999572753906,157.8000030517578,48547300,153.3167803908046,
2024-01-25,157.75,158.50999450683594,154.5500030517578,156.9499969482422,43638600,153.99881417683466,
2024-01-26,159.1199951171875,160.72000122070312,157.91000366210938,158.4199981689453,51047400,154.78668816765818,
2024-01-29,161.25999450683594,161.2899932861328,158.89999389648438,159.33999633789062,45270400,155.7825814506086,
2024-01-30,159.0,161.72999572753906,158.49000549316406,160.6999969482422,45207400,156.27756891974573,
2024-01-31,155.1999969482422,159.00999450683594,154.80999755859375,157.0,50284400,156.1117886164375,
2024-02-01,159.27999877929688,159.75999450683594,155.6199951171875,155.8699951171875,76542400,156.59920556456973,
2024-02-02,171.80999755859375,172.5,167.3300018310547,169.19000244140625,117218300,158.9393274098042,
2024-02-05,170.30999755859375,170.5500030517578,167.6999969482422,170.1999969482422,55081300,160.68866127884874,
2024-02-06,169.14999389648438,170.7100067138672,167.64999389648438,169.38999938964844,42505500,161.990404758485,
2024-02-07,170.52999877929688,170.8800048828125,168.94000244140625,169.47999572753906,47174100,163.30418845399453,156.4230757493239
2024-02-08,169.83999633789062,171.42999267578125,168.8800048828125,169.64999389648438,42316500,164.3096973592093,157.41692171884736
2024-02-09,174.4499969482422,175.0,170.5800018310547,170.89999389648438,56986000,165.86974344982974,158.67863099509884
2024-02-12,172.33999633789062,175.38999938964844,171.5399932861328,174.8000030517578,51050400,166.86516697106987,159.6905839834538
2024-02-13,168.63999938964844,170.9499969482422,165.75,167.72999572753906,56345100,167.13821811238964,160.3535036431719
2024-02-14,170.97999572753906,171.2100067138672,168.27999877929688,169.2100067138672,42815500,167.7292608224126,161.14065120497688
2024-02-15,169.8000030517578,171.1699981689453,167.58999633789062,170.5800018310547,49855200,168.04783655000418,161.7820846751088
2024-02-16,169.50999450683594,170.4199981689453,167.1699981689453,168.74000549316406,48107700,168.27278392797828,162.3545224404219
2024-02-20,167.0800018310547,168.7100067138672,165.74000549316406,167.8300018310547,41980300,168.08927898999005,162.70455795083916
2024-02-21,168.58999633789062,170.22999572753906,167.13999938964844,168.94000244140625,44420100,168.1663124281286,163.14051634988002
